Researcher Name,Processed Skills
"Liu, Chang",abundance circulating; abundantly secrete; active tuberculosis; application drug; area future; assay performance; assay using; assessment hiv; bacteria cell; based localized; based technology; based tool; bilayer contain; bilayers mimic; binding kinetics; biochemical study; biomarkers biosensors; biomarkers goal; biomarkers inside; biomarkers work; biomolecule interaction; biomolecules excellent; biomolecules lipid; biosensing platform; biosensors enable; biosensors study; burden area; cancer patient; candidate diagnostic; capable ultrasensitive; care diagnostics; cell membrane; cell origin; cell type; cell usually; circulating biomarkers; circulating ev; clinical translation; clinician validate; component cell; composed lipid; contain molecular; contain specific; covered lipid; detection active; detection personalized; develop portable; developing nanostructure; development drug; diagnosis treatment; diagnostic prognostic; diagnostics assay; diagnostics resource; dimensional fluidity; disease g; dna fragment; drug development; drug resistance; early detection; enable early; enable personalized; engineered contain; ev composed; ev composed lipid bilayer contain molecular component cell; ev secretion; ev using; excellent candidate; extracellular vesicle; fetal transmission; focused isolation; fragment reflect; fundamental biochemical; future clinical; g tuberculosis; generic biosensing; genomics biomarkers; goal project; ha focused; high burden; hiv maternal; hiv resource; hiv resource limited high burden area future clinical translation; identification novel; identification novel proteomics genomics biomarkers inside enable early detection personalized treatment regimen cancer patient project nanostructure based tool fundamental biochemical study generic biosensing platform fundamental biochemical study inform medical pharmaceutical developing nanostructure based localized surface plasmon resonance lspr biosensors study biomolecule interaction nanostructures covered lipid bilayers mimic bacteria cell membrane; including tumor; including tumor cell usually show increased ev secretion level similar cell; increased ev; indicate binding; infectious disease; inform medical; inside enable; interaction nanostructures; isolation circulating; kinetics biomolecules; level similar; limited high; limited setting; lipid; lipid bilayer; lipid bilayers; lipid protein; localized surface; low abundance; lspr biosensors; lspr signal; maternal fetal; medical pharmaceutical; medicine cell; microfluidics based; mimic bacteria; molecular component; monitoring infectious; monitoring low; nanomaterials microfluidics; nanopore technology; nanopores capable; nanostructure based; nanostructures covered; nanostructures indicate; novel proteomics; origin biomolecules; patient project; performance detection; permit monitoring; personalized medicine; personalized treatment; pharmaceutical developing; phenotypic state; plasmon resonance; platform fundamental; point care; portable vitro; possess similar; possess similar two dimensional fluidity; potential application; potential application drug development drug resistance study; prognostic biomarkers; project develop; project nanostructure; project point; project point care diagnostics resource limited setting nanopores capable ultrasensitive quantitation single protein peptide; project translational; protein; protein lspr; protein peptide; proteomics genomics; quantitation single; rapid diagnosis; readily engineered; readily engineered contain specific lipid protein lspr signal nanostructures indicate binding kinetics biomolecules lipid bilayers; reflect phenotypic; regimen cancer; resistance study; resonance lspr; resource limited; risk assessment; rna dna; rna dna fragment reflect phenotypic state cell origin biomolecules excellent candidate diagnostic prognostic biomarkers work ha focused isolation circulating ev using nanomaterials microfluidics based technology; secrete extracellular; secretion level; setting nanopores; show increased; signal nanostructures; similar cell; similar two; single protein; specific lipid; state cell; study biomolecule; study generic; study inform; surface plasmon; technology rapid; thus permit; thus permit monitoring low abundance circulating biomarkers goal project develop portable vitro diagnostics assay using nanopore technology rapid diagnosis treatment monitoring infectious disease g tuberculosis; tool fundamental; translational biomarkers; transmission project; treatment monitoring; treatment regimen; tuberculosis risk; tumor cell; two dimensional; type abundantly; ultrasensitive quantitation; using nanomaterials; using nanopore; usually show; validate assay; vesicle ev; vitro diagnostics; work ha; working clinician; working clinician validate assay performance detection active tuberculosis risk assessment hiv maternal fetal transmission project translational biomarkers biosensors enable personalized medicine cell type abundantly secrete extracellular vesicle ev
"Loiselle, Val",closure metal; disposal epa; emphasis waste; emphasis waste management disposal epa pond closure metal recycle manufacturing; environmental remediation; epa pond; loiselle nuclear; management disposal; metal recycle; nuclear engineering; pond closure; professor loiselle; professor loiselle nuclear engineering; recycle manufacturing; waste management
"Luo, Lannan ",deep learning; mobile security; programming language; software engineering; sofware system; sofware system security; system security
"Lyons, Jed ",academic affair; academic program; academic resource; activity provides; addition asee; advanced full; advanced full professor served mechanical engineering undergraduate director; affair college; also served; alumnus award; american society; appointed associate; area mechanical; asee executive; asee fellow; asee wa; assessment service; assistant professor; associate dean; award michael; award outstanding; award uofsc; bedenbach distinguished; bedenbach distinguished service award; center teaching; chair executive; chair lyon; college communication; college engineering; college oversight; committee member; communication marketing; computing promoted; create wide; dean academic; dean lyon; department mechanical; director lyon; directs outreach; directs outreach activity; directs undergraduate; distinguished professor; distinguished service; division asee; division chair; division chair lyon scholarship area mechanical engineering engineering education includes funded implementation project ha mentored assistant; division lyon; dr lyon; dr lyon directs undergraduate recruitment; education asee; education engineering; education includes; educational foundation; educational foundation award outstanding faculty service lyon registered professional engineer state; educator ha; elected fellow; engineer state; engineering computing; engineering division; engineering education; engineering educator; engineering engineering; engineering georgia; engineering material; engineering undergraduate; executive committee; faculty director; faculty service; fellow american; fellow status; fellow teacher; first faculty; foundation award; founding member; full professor; funded implementation; georgia institute; georgia tech; graduation activity; graduation activity provides college oversight academic program level; ha also; ha mentored; ha recognized; ha served; ha served chair executive committee member division lyon ha also served mechanical engineering division asee executive committee member; helped create; helped create wide center teaching excellence; implementation project; includes engineering; includes funded; institute technology; jed lyon; joined assistant; joined assistant professor department mechanical engineering; litman distinguished; litman distinguished professor award; lyon directs; lyon ha; lyon received; lyon registered; lyon scholarship; lyon wa; lyon work; lyon work engineering educator ha recognized georgia tech outstanding young alumnus award uofsc award michael mungo undergraduate teaching award; manages academic; manages academic resource assessment service; marketing team; material jed; mechanical engineering; member division; member engineering; mentored assistant; michael mungo; mungo undergraduate; outreach activity; outstanding faculty; outstanding young; oversight academic; part college; part college communication marketing team includes engineering education engineering material jed lyon received phd mechanical engineering georgia institute technology; phd mechanical; professional engineer; professor award; professor department; professor served; program chair; program level; project ha; promoted senior; provides college; received phd; recognized georgia; registered professional; researcher addition; resource assessment; retention; scholarship area; secretary; senior associate; senior associate dean academic affair; served chair; served first; served first faculty director lyon wa appointed associate dean academic affair college engineering computing promoted senior associate dean lyon wa elected fellow american society engineering education asee wa founding member engineering division asee; served mechanical; service award; service lyon; society engineering; teacher researcher; teaching assistant; teaching award; teaching excellence; teaching fellow; teaching fellow teacher researcher addition asee fellow status; team includes; tech outstanding; undergraduate director; undergraduate recruitment; undergraduate teaching; uofsc award; wa appointed; wa elected; wa founding; wide center; work engineering; young alumnus
"Mandal, Krishna",main streetcolumbia; sc; swearingenroom main; swearingenroom main streetcolumbia
"Matolak, David",main streetcolumbia; sc; swearingenroom main; swearingenroom main streetcolumbia
"Matta, Fabio",advanced cement; affordable high; area affordable; assessment constructed; cement composite; cement polymer; civil structure; composite concrete; concrete load; concrete structure; conduct experimental; constructed facility; construction material; corrosion steel; department energy; dr matta; dr matta team conduct experimental theoretical construction material structural performance; dwelling structure; earth masonry; emphasis extreme; emphasis extreme stressor area affordable high quality dwelling structure hazard mitigation strengthening repair civil structure multi scale multi functional reinforcement cement composite concrete load testing; experimental theoretical; extreme stressor; facility corrosion; functional reinforcement; hazard mitigation; high quality; industry; institute standard; load testing; masonry advanced; material structural; matrix composite; matta team; mitigation strengthening; monitoring assessment; monitoring assessment constructed facility corrosion steel concrete structure sponsor national science foundation; multi functional; multi scale; national institute; national institute standard technology; national science; polymer matrix; quality dwelling; quality earth; ranging affordable; ranging affordable high quality earth masonry advanced cement polymer matrix composite; reinforcement cement; repair civil; scale multi; science foundation; sponsor national; standard technology; steel concrete; strengthening repair; stressor area; structural performance; structure hazard; structure multi; structure sponsor; team conduct; theoretical construction
"Matthews, Catherine",csce class; instructor csce; instructor csce class
"Matthews, Manton M",graph theory; language processing; natural language; natural language processing; security
"Matthews, Michael A.",abatement indoor; ac currently; ac fellow; aid three; aimed abatement; allergenic protein; american chemical; american institute; application funding; application pem; application pem fuel cell funding nsf doe ha led expanded understanding role deliquescence reaction water vapor sodium borohydride addition; application supercritical; approximately journal; associate dean; bioengineering ha; biomaterials funding; biomedical application; biomedical engineering; biomedical imaging; borohydride addition; broad field; carbon dioxide; carbonix llc; cell funding; chair industrial; chair industrial engineering chemistry division american chemical society ac currently serf committee environmental improvement ac fellow american chemical society american institute chemical engineer two major thrust underway group first deal application supercritical carbon dioxide biomedical application funding national institute biomedical imaging bioengineering ha focused development novel technology sterilization disinfection synthetic natural biomaterials funding national institute environmental health science aimed abatement indoor allergenic protein respiratory hazard dr matthew founded carbonix llc aid three sbir grant niehs second thrust utilization chemical hydride hydrogen storage medium; chemical engineer; chemical hydride; chemical society; chemistry division; chemistry ha; committee environmental; conduct broad; currently serf; deal application; decreasing total; deliquescence reaction; department chair; development novel; dioxide biomedical; disinfection synthetic; division american; doe ha; dr matthew; engineer two; engineering chemistry; environmental health; environmental improvement; expanded understanding; fellow american; field thermodynamics; first deal; focused development; founded carbonix; fuel cell; funding ha; funding national; funding nsf; grant niehs; green chemistry; green chemistry ha raised funding ha published approximately journal paper ha served department chair; group first; ha focused; ha led; ha published; ha raised; ha served; hazard dr; health science; hydration state; hydride hydrogen; hydrogen storage; imaging bioengineering; important decreasing; improved understanding; improved understanding hydration state reaction product important decreasing total water utilization reaction; improvement ac; indoor allergenic; industrial engineering; institute biomedical; institute chemical; institute environmental; joined teach; journal paper; led expanded; llc aid; major thrust; matthew founded; matthew obtained; mike matthew; national institute; natural biomaterials; niehs second; novel technology; nsf doe; obtained ph; paper ha; pem fuel; ph texas; product important; professor mike; professor mike matthew obtained ph texas joined teach conduct broad field thermodynamics; project related; project related hydrogen storage chemical hydride; protein respiratory; published approximately; raised funding; reaction product; reaction water; related hydrogen; respiratory hazard; role deliquescence; sbir grant; science aimed; second thrust; serf committee; served department; society ac; society american; sodium borohydride; state reaction; sterilization disinfection; storage chemical; storage medium; supercritical carbon; synthetic natural; teach conduct; technology sterilization; texas joined; three sbir; thrust underway; thrust utilization; total water; two major; understanding hydration; understanding role; underway group; utilization chemical; utilization reaction; vapor sodium; water utilization; water vapor
"McAnally, A. Steve",application developing; application industrial; appropriate technology; area water; civil environmental; community recent; constructed wetland; constructed wetland application industrial municipal wastewater treatment education reform civil environmental engineering; corrosion control; cost portable; developing community; dr mcanally; dr mcanally focus water wastewater treatment; education reform; environmental engineering; focus water; heavy metal; industrial municipal; industrial waste; industrial waste minimization; low cost; mcanally focus; metal removal; municipal wastewater; optimization study; particularly appropriate; particularly appropriate technology application developing community recent project optimization study potable water production using low cost portable water treatment unit area water treatment heavy metal removal corrosion control; portable water; potable water; production using; project optimization; recent project; reform civil; removal corrosion; study potable; technology application; treatment education; treatment heavy; treatment unit; unit area; using low; waste minimization; wastewater treatment; water production; water treatment; water wastewater; wetland application
"McCants, Dale ",computational fluid; dr mccants; dr mccants nanofluids heat transfer mechanic; dynamic heat; electronics thermal; electronics thermal management; experimental computational; experimental computational fluid dynamic heat transfer; fluid dynamic; heat transfer; mccants nanofluids; nanofluids heat; thermal management; transfer mechanic
"McNeill, Stephen ",computer vision; digital image; digital image correlation; dr mcneill; dr mcneill computer vision; experimental mechanic; experimental mechanic reverse engineering; image correlation; mcneill computer; mechanic reverse; microprocessor; reverse engineering
"Meekins, Benjamin H.",electrochemistry; hydrogen generation; photoelectrochemistry; solar energy; solid state; solid state electrochemistry; state electrochemistry
"Mobli, Mostafa",accurate temperature; analysis glow; analyze wide; application specially; applying previously; change micro; continuous method; cooling industry; developed method; developing new; discharge show; discharge simulation; flow heat; fluid flow; focused continuous; focused developing; glow discharge; heat transfer; importance accurate; interested numerical; interested numerical solution problem involving reactive flow heat transfer focused developing new numerical method applying previously developed method analyze wide range fluid flow heat transfer application specially focused continuous method simulate phase change micro nano scale used various cooling industry; involving reactive; method analyze; method applying; method simulate; micro nano; nano scale; new numerical; numerical method; numerical solution; phase change; previously developed; problem involving; range fluid; reactive flow; scale used; show importance; simulate phase; solution problem; specially focused; temperature analysis; thermal analysis; thermal analysis glow discharge show importance accurate temperature analysis glow discharge simulation; transfer application; transfer focused; used various; various cooling; wide range
"Monnier, John R.",activated metal; activated reducing; active surface; addition either; afford great; ag pt; agent principle; agent process; applied wide; au pd; autocatalytic deposition; batch stirred; bifunctionality active; bimetallic catalyst; bimetallic particle; biomass molecule; carried either; catalyst afford; catalyst composition; catalyst design; catalyst performance; catalyst selective; catalyst support; catalyst surface; catalyst synthesis; catalyst using; catalytic deposition; catalytic metal; catalytic reaction; catalytic site; catalytic surface; catalytic system; cell bimetallic; centerroom main; changing catalyst; changing performance; characterization evaluation; characterize catalytic; chemical higher; chemical reaction; co impregnation; composition ag; composition laboratory; conducted either; contiguous proximity; controlled chemical; correlate catalyst; crystallite secondary; cu pd; cu pd evaluated traditional catalytic reaction selective epoxidation olefin; current design; currently funded; depending nature; depending nature activated metal site reducing agent principle; deposit metal; deposited metal; deposited metal metal; deposition ed; deposition metal; deposition secondary; deposition supported; design synthesis; different catalytic; difficult characterize; difficult characterize catalytic system; difficult correlate; doe; doe occur; ed industrially; ed industrially relevant process applied wide range metal prepared large number bimetallic catalyst using electroless deposition supported carbon; ed result; ed result selective deposition secondary metal onto metallic surface formation isolated crystallite secondary metal catalyst support perhaps importantly; either automated; either catalytic; either changing; either changing catalyst surface ensemble catalytic site permit selected reaction pathway; either preparative; either simultaneous; electrocatalysts pem; electroless deposition; electronic property; engineering centerroom; engineering centerroom main streetcolumbia; ensemble catalytic; ensure formation; epoxidation olefin; evaluated traditional; evaluation current; even difficult; even difficult correlate catalyst performance bimetallic catalyst composition laboratory us electroless deposition ed; existing metal; flow reactor; focus heterogeneous; formation bimetallic; formation isolated; formation separate; formation separate metallic particle metal doe occur thus; fuel cell; functional olefin; funded nsf; great opportunity; group focus; group focus heterogeneous catalysis; ha activated; heterogeneous catalysis; high pressure; higher output; higher value; hydrocarbon higher; hydrogenation multi; impossible ensure; impregnation metal; industrial company; industrially relevant; introducing bifunctionality; introducing bifunctionality active surface placing different catalytic metal contiguous proximity bimetallic catalyst synthesis often carried either simultaneous co impregnation metal salt onto catalyst support successive step metal salt addition either preparative method; isolated crystallite; laboratory us; large number; main streetcolumbia; may either; metal catalyst; metal contiguous; metal doe; metal metal; metal onto; metal prepared; metal salt; metal site; metal solution; metal support; metallic particle; metallic surface; modifying electronic; modifying electronic property catalytic surface site; molecule glycerol; multi functional; nature activated; novel bimetallic; number bimetallic; occur thus; often carried; olefin reaction; onto catalyst; onto catalytic; onto metallic; onto pre; onto reduced; opportunity changing; output pem; oxidation biomass; particle metal; particle rather; pas plug; pd evaluated; pem fuel; performance bimetallic; perhaps importantly; permit selected; placing different; plug flow; pre existing; preparative method; prepared large; pressure batch; process applied; process may; project currently; property catalytic; proximity bimetallic; pt co; pt pd; pt rh; pt rh tested electrocatalysts pem fuel cell; range metal; ranging rational; ranging rational catalyst design synthesis characterization evaluation current design synthesis novel bimetallic catalyst selective transformation hydrocarbon higher value chemical higher output pem fuel cell bimetallic catalyst afford great opportunity changing performance; rational catalyst; reaction conducted; reaction pathway; reaction selective; reaction used; reactor project; reactor six; reducing agent; relevant process; result selective; rh tested; salt addition; salt metal; salt onto; sc; secondary metal; selected reaction; selective deposition; selective epoxidation; selective hydrogenation; selective hydrogenation multi functional olefin reaction conducted either automated; selective oxidation; selective oxidation biomass molecule glycerol; selective transformation; separate metallic; several industrial; several industrial company; silica supported; silica supported composition ag pt; simultaneous co; single pas; single pas plug flow reactor six two high pressure batch stirred tank reactor project currently funded nsf; site ha; site permit; site reducing; six two; solution onto; st ambrose; step metal; stirred tank; successive step; support autocatalytic; support perhaps; support successive; supported carbon; supported composition; surface ensemble; surface formation; surface placing; surface site; synthesis characterization; synthesis novel; synthesis often; tank reactor; tested electrocatalysts; traditional catalytic; transformation hydrocarbon; two high; us electroless; used deposit; using electroless; value chemical; virtually impossible; virtually impossible ensure formation bimetallic particle rather; whereby controlled; whereby controlled chemical reaction used deposit metal salt onto catalytic metal site ha activated reducing agent process may either catalytic deposition metal salt metal solution onto pre existing metal metal support autocatalytic deposition metal salt metal onto reduced; wide range; wisconsin milwaukee
"Morehouse, Jeff ",analysis currently; application humid; associated solar; based fuel; broad range; cell power; change storage; control project; conventional hvac; coupled heat; currently involved; design analysis; dr morehouse; dr morehouse student investigated broad range thermodynamic heat engine application; energy system; engine application; evaporative system; fuel cell; ground coupled; ha long; heat engine; heat pump; humid climate; hvac control; investigated broad; involved conventional; long associated; morehouse ha; morehouse student; phase change; power system; project evaporative; pump phase; range thermodynamic; ranging space; ranging space based fuel cell power system ground coupled heat pump phase change storage system dr morehouse ha long associated solar energy system design analysis currently involved conventional hvac control project evaporative system application humid climate; solar energy; space based; storage system; student investigated; system application; system design; system dr; system ground; thermodynamic heat
"Moss, Melissa Ann",ab aggregation; ab stimulation; accumulate brain; activation correlating; affect neuronal; agent alzheimer; aggregate fibril; aggregation alzheimer; aggregation cellular; aggregation ha; aggregation process; aggregation product; aggregation utilize; alzheimer disease; amyloid protein; apoptosis endothelial; approach alzheimer; assist effort; associated neuronal; atomic force; atomic force microscopy furthermore; attenuate aggregation; biophysical technique; brain associated; cell particular; cellular effect; cerebrovasculature may; change ab; characterize inhibitor; composed primarily; correlating change; deposit yield; design effective; determine various; disease focus; disease one; disease senile; disease therapy; dot blotting; dynamic light; effect assist; effective therapeutic; effort design; electron microscopy; emerged one; endothelial inflammatory; fibril deposit; fluorescence spectroscopy; focus involvement; focus understand; force microscopy; ha emerged; hallmark alzheimer; identify characterize; including chromatography; including nf; including nf kb activation correlating change ab aggregation cellular effect assist effort design effective therapeutic agent alzheimer disease therapy; inflammatory response; inhibition aggregation; inhibition aggregation ha emerged one therapeutic approach alzheimer disease focus understand aggregation process identify characterize inhibitor attenuate aggregation utilize myriad biophysical technique including chromatography; inhibitor attenuate; interested ab; interested ab stimulation neuronal apoptosis endothelial inflammatory response; involvement protein; kb activation; light scattering; loss cerebrovasculature; main streetroom; may perpetuate; microscopy furthermore; moss focus; myriad biophysical; neuronal apoptosis; neuronal loss; neuronal vascular; nf kb; one hallmark; one therapeutic; perpetuate stoke; plaque accumulate; plaque composed; plaque consequently; primarily amyloid; process identify; product affect; protein aggregate; protein aggregation; sc moss; sc moss focus involvement protein aggregation alzheimer disease one hallmark alzheimer disease senile plaque accumulate brain associated neuronal loss cerebrovasculature may perpetuate stoke plaque composed primarily amyloid protein aggregate fibril deposit yield plaque consequently; seek determine; seek determine various aggregation product affect neuronal vascular cell particular; senile plaque; static dynamic; static dynamic light scattering; stimulation neuronal; stoke plaque; technique including; therapeutic agent; therapeutic approach; understand aggregation; utilize myriad; various aggregation; vascular cell; western blotting; yield plaque
"Mullen, Robert L",main st; pm pm; room main; room main st columbia; sc tr; sc tr pm pm; st columbia; tr pm
"Mustain, William E",battery; electrocatalysis; electrochemical engineering; synthesis
"Nelakuditi, Srihari",computer networking; mobile computing; wireless networking
"Nezhad, Cyrus Riahi",air conditioning; analysis application; application automotive; application biofuel; application flow; application nano; application nano catalyst hydrogen production using water gas shift reaction; area specialization; automotive exhaust; based innovative; biofuel production; breached levee; broad area; catalysis separation; catalyst hydrogen; catalyst oxidative; characterization mesoporous; coalescence application; combination fluid; compound application; conditioning gedac; destruction volatile; driven air; drop electro; drop electro coalescence application biofuel production; electric field; electro coalescence; electro mixing; emission control; engine driven; enhanced electric; exhaust emission; experimental numerical; field including; flow breached; flow packed; fluid mechanic; gas engine; gas engine driven air conditioning gedac heating cooling; gas liquid; gas shift; gedac heating; heating cooling; heterogeneous catalysis; heterogeneous catalysis separation enhanced electric field including electro mixing; heterogeneous catalyst; high liquid; high liquid flow packed tower optimal gas liquid phase interaction; hydraulic fluid; hydraulic fluid mechanic utilizing experimental numerical analysis application flow breached levee levee closure; hydrogen production; including electro; innovative combination; levee closure; levee levee; liquid flow; liquid phase; main street; main street room; mechanic utilizing; mesoporous heterogeneous; nano catalyst; nezhad broad; numerical analysis; optimal gas; organic compound; oxidative destruction; packed tower; phase interaction; production using; radioactive waste; radioactive waste treatment; riahi nezhad; riahi nezhad broad area specialization based innovative combination fluid mechanic; sc; separation enhanced; separation science; shift reaction; specialization based; street room; synthesis characterization; synthesis characterization mesoporous heterogeneous catalyst oxidative destruction volatile organic compound application automotive exhaust emission control; tannery waste; tannery waste water treatment; tower optimal; using water; utilizing experimental; volatile organic; waste treatment; waste water; water gas; water treatment
"O'Kane, Jason",robotics
"O'Reilly, James",james reilly; james reilly teach various undergraduate course; reilly teach; teach various; undergraduate course; various undergraduate
"Ortiz-Hernandez, Ivelisse",also interested; alternate energy; analytical instrumentation; application environmental; area chemical; background involves; catalytic material; catalytic system; ch; characterization material; characterization new; chemical engineering; chemical reaction; chemical technology; condition involves; curriculum area; developing new; development characterization; energy system; engineering chemical; environmental alternate; experience involves; hernandez background; heterogeneous catalytic; instrumentation technique; interested use; involves development; involves study; involves teaching; material application; material study; new catalytic; new curriculum; ortiz hernandez; ortiz hernandez background involves study heterogeneous catalytic system reaction condition involves development characterization new catalytic material application environmental alternate energy system also interested use analytical instrumentation technique characterization material study chemical reaction experience involves teaching developing new curriculum area chemical engineering chemical technology; ph; puerto rico; reaction condition; reaction experience; study chemical; study heterogeneous; system also; system reaction; teaching developing; technique characterization; use analytical
"Pain, Christopher C.",academic general; active scientist; activity key; adaptive multi; adjoint method; also head; amcg specialises; anisotropic electrical; application innovative; applied computation; atmosphere climate; atmosphere climate system; author general; authored journal; biomedical science; book chapter; climate system; coastal flow; code fluidity; college london; completed industry; comprises active; computation modelling; computational fluid; core numerical; council grant; coupled fluid; coupled fluid solid modelling discrete element method; cratering wa; department earth; description differential; development application; differential geometry; discrete element; discretization technique; dr pain; dr pain professor department earth science engineering imperial college london icl; dynamic code; dynamic including; earth science; electrical inversion; element method; engineering biomedical; engineering biomedical science group ha core numerical method ocean; engineering fluid; engineering fluid including multiphase flow; engineering imperial; error measure; excellence award; feature inverse; feed forward; flow using; fluid dynamic; fluid including; fluid solid; fluidity foundation; forward neural; foundation majority; general computational; general purpose; geometry original; geophysical fluid; graduated phd; graduated phd student completed industry council grant; group amcg; group ha; grouping icl; ha authored; ha core; ha included; head applied; honored imperial; icl comprises; imaging; impact cratering; impact cratering wa honored imperial college london winning excellence award; imperial college; included anisotropic; including multi; including multiphase; including parallel; including parallel solution technique; industry council; innovative world; inverse modelling; inversion inversion; inversion method; inversion transient; journal publication; key proposal; largest grouping; largest grouping icl comprises active scientist amcg specialises development application innovative world leading modelling technique earth; leading dr; leading modelling; linear dynamic; linear equation; linear non; london icl; london winning; majority activity; measure mesh; mesh adaptive; mesh adaptive multi phase ocean modelling feature inverse modelling ha included anisotropic electrical inversion; mesh adaptivity; method ha; method ocean; modelling discrete; modelling feature; modelling group; modelling ha; modelling technique; multi phase; multiphase flow; neural network; neutral particle; neutral particle radiation transport; non linear; non linear dynamic; nuclear safety; numerical; numerical method; numerical shape; numerical shape description differential geometry original author general purpose parallel computational fluid dynamic code fluidity foundation majority activity key proposal; ocean modelling; oceanography geophysical; oceanography geophysical fluid dynamic; optimisation; original author; pain academic; pain professor; parallel computational; parallel solution; particle radiation; patent; phase flow; phase ocean; phd student; priori error; priori error measure mesh adaptivity; professor department; purpose parallel; radiation transport; recognition world; recognition world leading dr pain academic general computational fluid dynamic including multi phase flow; recurrent feed; recurrent feed forward neural network; resolution linear; resolution linear non linear equation; science engineering; science group; scientist amcg; seismic inversion; seismic inversion inversion transient coastal flow using adjoint method ha authored journal publication; shape description; solid modelling; solution technique; specialises development; student completed; technique earth; transient coastal; turbulence modelling; uk also; uk also head applied computation modelling group amcg; using adjoint; wa honored; winning excellence; world leading
"Patel, Chandrashekhar",bldg room; endothelial smooth; ferry road; garner ferry; medicine bldg; molecular regulation; muscle cell; patel molecular; regulation vascular; road columbia; room garner; sc patel; sc patel molecular regulation vascular endothelial smooth muscle cell; school medicine; school medicine bldg room garner ferry road columbia; smooth muscle; vascular endothelial
"Paul, Titan C.",building environment; conjugate heat; dr paul; dr paul includes energy storage liquid solar technology; energy storage; heat mass; heat transfer; heat transfer moisture migration problem building environment; heat transfer phase change; includes energy; liquid solar; management microelectronics; mass transfer; method conjugate; migration problem; moisture migration; numerical method; numerical method conjugate heat mass transfer problem; paul includes; phase change; problem building; solar technology; storage liquid; thermal management; thermal management microelectronics; transfer moisture; transfer phase; transfer problem
"Peters, Wally ",complex system; dr peter; dr peter complex system study design; peter complex; study design; system study
"Plante, Portia",plante teach; portia plante; portia plante teach various undergraduate course; teach various; undergraduate course; various undergraduate
"Popov, Branko N.",centerroom main; croatia; dr popovpopov; engineering centerroom; engineering centerroom main streetcolumbia; illinois; kiril metodij; macedonia; main streetcolumbia; popovpopov readership; readership worldwideph; sc dr; sc dr popovpopov readership worldwideph; skopje; zagreb
"Potts, Jay",accomplished process; atrioventricular canal; atrioventricular valve; av av; av canal; av valve; bldg room; brook; building foundation; burden myriad; canal av; canal formed; canal responsible; cardiac defect; cardiac malformation; cell dev; cell transformation; congenital cardiac; critical building; damon; defect majority; dev dyn; early heart; epithelial mesenchymal; extreme sociological; ferry road; fibroblastic lineage; formed critical; foundation future; future therapeutic; garner ferry; goodwin; hart; heart particular; hoffman; interventricular septum; involve region; jd; junor; known atrioventricular; known epithelial; lineage pathway; majority involve; malformation place; markwald; measure norris; medicine bldg; membranous portion; mesenchymal cell; mj; mm; myriad congenital; particular av; pathway atrioventricular; periostin promotes; personal burden; place extreme; portion interventricular; potts; prevalence congenital; process known; production av; progenitor cell; promotes fibroblastic; ra; region known; responsible production; rl periostin; rl periostin promotes fibroblastic lineage pathway atrioventricular valve progenitor cell dev dyn; road columbia; room garner; rr; sc prevalence; sc prevalence congenital cardiac malformation place extreme sociological personal burden myriad congenital cardiac defect majority involve region known atrioventricular canal av av canal responsible production av valve membranous portion interventricular septum accomplished process known epithelial mesenchymal cell transformation understanding early heart particular av canal formed critical building foundation future therapeutic measure norris; school medicine; school medicine bldg room garner ferry road columbia; septum accomplished; sociological personal; tan; therapeutic measure; transformation understanding; understanding early; valve membranous; valve progenitor; yost
"Qian, Yu",arema committee; asce rail; asce rail transportation committee; committee member; currently serving; discrete element; discrete element simulation currently serving committee member three trb committee; dr yu; dr yu qian ha working transportation geotechnics railroad infrastructure related; element simulation; focusing heavy; geosynthetics; geotechnics railroad; ha working; haul transit; heavy haul; high speed; high speed rail; infrastructure related; mainly focusing; mainly focusing heavy haul transit track structure; member three; pavement; qian ha; rail transportation; railroad infrastructure; serving committee; simulation currently; speed rail; three trb; track structure; transit track; transportation committee; transportation geotechnics; trb committee; two arema; two arema committee; working transportation; yu qian
"Ranson, Bill ",application measurement; application technology; computer vision; dr ranson; dr ranson scale invariant computer vision application measurement mechanical system; invariant computer; learning system; life prediction; mathematical modeling; mathematical modeling mechanical system measurement system life prediction application technology learning system; measurement mechanical; measurement system; mechanical system; modeling mechanical; prediction application; ranson scale; scale invariant; system life; system measurement; technology learning; vision application
"Regalbuto, John R.",centerroom main; engineering centerroom; engineering centerroom main streetcolumbia; main streetcolumbia; notre dame; sc
